"AccidentYear","actual","fitted_cp","fitted_tw","error_cp","error_tw","diff_cp_tw"
1988,8723056,54518974333.0144,8340118.38839803,624898.559369726,-4.389947876088,653595.448842261
1989,9870347,66699083344.2311,9089919.17563964,675652.162960746,-7.90679217620574,733669.817480666
1990,10798829,81160263335.23,9955304.04930094,751465.408946007,-7.81126315361659,815146.454887825
1991,10837480,93235672027.558,10692010.7974543,860207.673255757,-1.34227885583792,871912.512835813
1992,11787672,106461401026.637,11410813.7306567,903058.834302799,-3.19705425586393,932886.932742704
1993,12739786,119272123041.017,12030887.8169188,936117.633804974,-5.56444341436514,991282.555103601
1994,13632965,136294799791.631,12674239.4548516,999644.368093304,-7.03240670792035,1075268.66631835
1995,13899232,148609601425.298,13090447.0541853,1069092.89803421,-5.81891823817844,1135152.30124043
1996,13874237,154535342590.166,13266326.5071288,1113729.48547128,-4.38157783286552,1164769.13319317
1997,13707708,153587046872.711,13188337.3389093,1120342.94255984,-3.78889498587736,1164467.16965819
